k,samples,acc,thr
0.6,44357,0.48620378719567175,0.3783833367248881
0.8,41407,0.48763523956723337,0.30622929334640503
1.0,38417,0.49640812077043206,0.37347832322120667
1.2,35563,0.48847148802159485,0.3223791718482971
1.5,31549,0.4884634888438134,0.5432013694578302
