k,samples,acc,thr
0.6,44742,0.4895404970498838,0.7866928577423096
0.8,41701,0.4890657970458469,0.8485524576196247
1.0,38754,0.48539580968108165,0.6832276370035044
1.2,35859,0.4857780256553263,0.7748134136199951
1.5,31814,0.47963288911239627,0.8565905094146729
