k,samples,acc,thr
0.6,46201,0.5074885291316769,0.46771322519435427
0.8,43602,0.5031648472617191,0.45580172538757324
1.0,41092,0.49936727343521853,0.382421612739563
1.2,38583,0.4989633008500933,0.46499931812286377
1.5,35178,0.5015349630471859,0.463867282492643
