k,samples,acc,thr
0.6,43215,0.5173084042947057,0.46009423424899887
0.8,39720,0.5162134944612286,0.4467969834804535
1.0,36409,0.514885202680435,0.39770151291112005
1.2,33496,0.510508717458801,0.6751844882965088
1.5,29311,0.5099617903930131,0.365414685820766
