k,samples,acc,thr
0.6,45064,0.5052369962719687,0.4204854087511645
0.8,42197,0.501611374407583,0.40844351053237915
1.0,39347,0.5012707126156348,0.42600678213998155
1.2,36593,0.4962290960760739,0.4421444237232208
1.5,32609,0.4998160186434441,0.43161213397979736
