timestamp,symbol,price,pred_15m,pred_1h
2025-11-27 18:01:00+00:00,AVAXUSDT,15.11,0.8702580736127925,0.9878007725467319
2025-11-27 18:01:00+00:00,XRPUSDT,2.2075,0.858452258657972,0.9659713894338363
2025-11-27 18:02:00+00:00,BTCUSDT,91430.78,0.8059561252593994,0.7638775110244751
2025-11-27 18:02:00+00:00,ETHUSDT,3018.62,0.9776195287704468,0.9747792492662197
2025-11-27 18:02:00+00:00,SOLUSDT,141.53,0.7486480474472046,0.5747710466384888
2025-11-27 18:02:00+00:00,AVAXUSDT,15.1,0.9438345889188275,0.9892034589838702
2025-11-27 18:02:00+00:00,XRPUSDT,2.2073,0.8574140100567066,0.9670171333444637
2025-11-27 18:03:00+00:00,BTCUSDT,91444.76,0.7609217166900635,0.7488118410110474
2025-11-27 18:03:00+00:00,ETHUSDT,3019.34,0.9486881494522095,0.968089474694294
2025-11-27 18:03:00+00:00,SOLUSDT,141.64,0.8032252556519349,0.6879762411117554
2025-11-27 18:03:00+00:00,AVAXUSDT,15.11,0.8608366852068353,0.9904847466806381
2025-11-27 18:03:00+00:00,XRPUSDT,2.2088,0.8070393579475809,0.962225615978241
2025-11-27 18:04:00+00:00,BTCUSDT,91449.99,0.7610466480255127,0.7461073398590088
2025-11-27 18:04:00+00:00,ETHUSDT,3019.28,0.9662601947784424,0.971206211628662
2025-11-27 18:04:00+00:00,SOLUSDT,141.68,0.8173204064369202,0.7824229001998901
2025-11-27 18:04:00+00:00,AVAXUSDT,15.11,0.8721252376253411,0.9914694091515086
2025-11-27 18:04:00+00:00,XRPUSDT,2.2095,0.8501956225497198,0.9614488173255389
2025-11-27 18:05:00+00:00,BTCUSDT,91415.28,0.7725723385810852,0.7869436968991363
2025-11-27 18:05:00+00:00,ETHUSDT,3017.81,0.9653821587562561,0.9751702626434963
2025-11-27 18:05:00+00:00,SOLUSDT,141.61,0.7421641890326742,0.7515961527824402
2025-11-27 18:05:00+00:00,AVAXUSDT,15.1,0.9516090921023028,0.9968838410011829
2025-11-27 18:05:00+00:00,XRPUSDT,2.2078,0.9048819793825738,0.9655098036001404
2025-11-27 18:06:00+00:00,BTCUSDT,91406.45,0.734049916267395,0.8611347802484077
2025-11-27 18:06:00+00:00,ETHUSDT,3016.94,0.9613451957702637,0.9713099935025161
2025-11-27 18:06:00+00:00,SOLUSDT,141.79,0.802960741570029,0.5596932768821716
2025-11-27 18:06:00+00:00,AVAXUSDT,15.1,0.9560904717170461,0.996713270035116
2025-11-27 18:06:00+00:00,XRPUSDT,2.207,0.8814256532957465,0.9686519888384706
2025-11-27 18:07:00+00:00,BTCUSDT,91475.34,0.6274657845497131,0.6253215670585632
2025-11-27 18:07:00+00:00,ETHUSDT,3022.18,0.9502468109130859,0.9446373471866193
2025-11-27 18:07:00+00:00,SOLUSDT,141.99,0.8153146505355835,0.5424174666404724
2025-11-27 18:07:00+00:00,AVAXUSDT,15.1,0.9590198033708324,0.9970166141666518
2025-11-27 18:07:00+00:00,XRPUSDT,2.2097,0.8866914069669801,0.9540717552443516
2025-11-27 18:08:00+00:00,BTCUSDT,91441.23,0.7132833003997803,0.8088997006416321
2025-11-27 18:08:00+00:00,ETHUSDT,3020.09,0.9482530951499939,0.9570866849076421
2025-11-27 18:08:00+00:00,SOLUSDT,141.93,0.7977002859115601,0.509164035320282
2025-11-27 18:08:00+00:00,AVAXUSDT,15.1,0.960904248680619,0.9970209220826778
